😀,😀
😬,😬
😁,😁
😂,😂
😃,😃
😄,😄
😅,😅
😆,😆
😇,😇
😉,😉
😊,😊
🙂,🙂
🙃,🙃
☺,☺
😋,😋
😌,😌
😍,😍
😘,😘
😗,😗
😙,😙
😚,😚
😜,😜
😝,😝
😛,😛
🤑,🤑
🤓,🤓
😎,😎
🤗,🤗
😏,😏
😶,😶
😐,😐
😑,😑
😒,😒
🙄,🙄
🤔,🤔
😳,😳
😞,😞
😟,😟
😠,😠
😡,😡
😔,😔
😕,😕
🙁,🙁
☹,☹
😣,😣
😖,😖
😫,😫
😩,😩
😤,😤
😮,😮
😱,😱
😨,😨
😰,😰
😯,😯
😦,😦
😧,😧
😢,😢
😥,😥
😪,😪
😓,😓
😭,😭
😵,😵
😲,😲
🤐,🤐
😷,😷
🤒,🤒
🤕,🤕
😴,😴
💤,💤
💩,💩
😈,😈
👿,👿
👹,👹
👺,👺
💀,💀
👻,👻
👽,👽
🤖,🤖
😺,😺
😸,😸
😹,😹
😻,😻
😼,😼
😽,😽
🙀,🙀
😿,😿
😾,😾
🙌,🙌
🙌🏻,🙌🏻
🙌🏼,🙌🏼
🙌🏽,🙌🏽
🙌🏾,🙌🏾
🙌🏿,🙌🏿
👏,👏
👏🏼,👏🏼
👏🏼,👏🏼
👏🏽,👏🏽
👏🏾,👏🏾
👏🏿,👏🏿
👋,👋
👋🏻,👋🏻
👋🏼,👋🏼
👋🏽,👋🏽
👋🏾,👋🏾
👋🏿,👋🏿
👍,👍
👍🏻,👍🏻
👍🏼,👍🏼
👍🏽,👍🏽
👍🏾,👍🏾
👍🏿,👍🏿
👎,👎
👎🏻,👎🏻
👎🏼,👎🏼
👎🏽,👎🏽
👎🏾,👎🏾
👎🏿,👎🏿
👊,👊
👊🏻,👊🏻
👊🏼,👊🏼
👊🏽,👊🏽
👊🏾,👊🏾
👊🏿,👊🏿
✊,✊
✊🏻,✊🏻
✊🏼,✊🏼
✊🏽,✊🏽
✊🏾,✊🏾
✊🏿,✊🏿
✌,✌
✌🏻,✌🏻
✌🏼,✌🏼
✌🏽,✌🏽
✌🏾,✌🏾
✌🏿,✌🏿
👌,👌
👌🏻,👌🏻
👌🏼,👌🏼
👌🏽,👌🏽
👌🏾,👌🏾
👌🏿,👌🏿
✋,✋
✋🏻,✋🏻
✋🏼,✋🏼
✋🏽,✋🏽
✋🏾,✋🏾
✋🏿,✋🏿
👐,👐
👐🏻,👐🏻
👐🏼,👐🏼
👐🏽,👐🏽
👐🏾,👐🏾
👐🏿,👐🏿
💪,💪
💪🏻,💪🏻
💪🏼,💪🏼
💪🏽,💪🏽
💪🏾,💪🏾
💪🏿,💪🏿
🙏,🙏
🙏🏻,🙏🏻
🙏🏼,🙏🏼
🙏🏽,🙏🏽
🙏🏾,🙏🏾
🙏🏿,🙏🏿
☝,☝
☝🏻,☝🏻
☝🏼,☝🏼
☝🏽,☝🏽
☝🏾,☝🏾
☝🏿,☝🏿
👆,👆
👆🏻,👆🏻
👆🏼,👆🏼
👆🏽,👆🏽
👆🏾,👆🏾
👆🏿,👆🏿
👇,👇
👇🏻,👇🏻
👇🏼,👇🏼
👇🏽,👇🏽
